numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs
6,0,0,5,20.0,12.0,3.33333,24.0,16.0,4.0,-4.0,0.0,-0.666667,239.143,29.4929,0,1,0,0,3,0,1,2,10.0,3.0,13,1,0,0.0,2,3.0,3.0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,14,2,5,9,190,0,9,0,142.0,20.0,25,9,1,0.0,11,57.0,40.0,2
7,1,0,4,37.0,29.0,5.28571,10.0,4.0,1.42857,27.0,27.0,3.85714,217.714,50.1622,0,1,0,0,1,0,2,0,6.0,2.0,18,2,0,0.0,2,2.0,2.0,0
2,0,0,2,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,163.0,144.857,4,1,1,3,15,0,5,0,48.0,6.0,10,2,0,0.0,5,18.0,11.0,1
3,0,0,1,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,27.2857,19.5238,17,1,3,15,36,0,3,0,130.0,9.0,7,3,3,0.0,3,72.0,35.0,1
15,0,0,6,124.0,60.0,8.26667,158.0,86.0,10.5333,-34.0,3.0,-2.26667,239.143,53.3629,10,1,1,9,21,0,6,0,79.0,7.0,11,0,2,0.0,5,31.0,22.0,0
9,1,0,5,194.0,140.0,21.5556,204.0,161.0,22.6667,-10.0,13.0,-1.11111,239.143,22.2452,5,1,2,4,15,0,4,0,70.0,6.0,27,4,2,0.0,1,16.0,16.0,0
23,4,1,6,1022.0,649.0,44.4348,1092.0,739.0,47.4783,-70.0,95.0,-3.04348,218.714,53.0108,12,1,4,10,136,0,15,0,336.0,17.0,10,10,1,5.0,4,79.0,59.0,1
15,1,0,6,85.0,20.0,5.66667,41.0,9.0,2.73333,44.0,12.0,2.93333,239.143,56.2202,2,2,1,1,28,0,1,1,31.0,8.0,22,0,1,1.0,7,12.0,10.0,1
50,6,0,7,1467.0,430.0,29.34,516.0,170.0,10.32,951.0,374.0,19.02,239.143,74.5032,23,1,3,22,630,0,16,0,596.0,36.0,7,9,29,0.0,3,331.0,146.0,2
26,4,2,3,224.0,63.0,8.61538,309.0,186.0,11.8846,-85.0,35.0,-3.26923,218.714,50.9311,23,1,4,20,91,0,6,0,318.0,14.0,12,1,0,0.0,5,120.0,69.0,0
8,1,0,1,449.0,199.0,56.125,8.0,4.0,1.0,441.0,199.0,55.125,125.857,9.10945,26,1,9,17,45,0,2,0,169.0,10.0,7,0,0,0.0,10,72.0,37.0,2
18,2,0,1,1356.0,572.0,75.3333,140.0,52.0,7.77778,1216.0,572.0,67.5556,125.857,9.93753,26,1,7,19,496,0,11,0,393.0,32.0,7,11,14,0.0,18,196.0,117.0,1
7,1,0,5,24.0,16.0,3.42857,85.0,43.0,12.1429,-61.0,0.0,-8.71429,239.143,25.3869,1,1,1,0,55,0,0,0,30.0,11.0,16,0,0,0.0,11,21.0,10.0,0
7,0,0,1,27.0,15.0,3.85714,19.0,14.0,2.71429,8.0,8.0,1.14286,162.143,73.9894,9,1,5,4,171,0,16,0,160.0,19.0,18,13,2,3.0,17,66.0,46.0,0
18,4,0,6,196.0,49.0,10.8889,147.0,38.0,8.16667,49.0,20.0,2.72222,239.143,44.8418,5,1,2,3,36,0,2,0,95.0,9.0,9,2,0,0.0,3,57.0,28.0,1
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1429,0.0,1,1,1,0,0,0,0,0,0.0,1.0,7,0,0,0.0,1,1.0,0.0,0
2,0,0,1,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,124.286,7.57143,14,1,3,11,45,2,6,0,94.0,10.0,7,3,1,0.0,8,72.0,22.0,0
